column_name,column_description,prelim,NL_EUROCROPS,NL_2009,NL_2010,NL_2011,NL_2012,NL_2013,NL_2014,NL_2015,NL_2016,NL_2017,NL_2018,NL_2019,NL_2020,NL_2021,NL_2022
field_id,Unique identifier for each field in country or state,1,objectid,,,,,,,,,,,,,,
farm_id,Unique identifier for each farm in country,1,,,,,,,,,,,,,,,
crop_code,"The original, country-specific crop code",1,gewascode,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,GWS_GEWASCODE,gewascode,gewascode,gewascode
crop_name,"The original, country-specific crop name",1,gewas,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,GWS_GEWAS,gewas,gewas,gewas
EC_trans_n,The original crop name translated into English,1,EC_trans_n,,,,,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,EC_hcat_n,,,,,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,EC_hcat_c,,,,,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,,,,,,,,,,
field_size,Size of field in hectar,1,,,,,,,,,,,,,,,
intercrop_code,"The original, country-specific intercrop code",0,,,,,,,,,,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,,,,,,,,,,
